Exchange Date,Close,%Chg,Volume
27-Aug-2013,65.634,0.012 ,4893965 
28-Aug-2013,64.243,-0.017 ,4444048 
29-Aug-2013,63.986,-0.003 ,2711441 
30-Aug-2013,64.449,0.011 ,7384447 
02-Sep-2013,65.756,0.012 ,3124857 
03-Sep-2013,66.269,-0.002 ,2171809 
04-Sep-2013,66.806,-0.004 ,3432035 
05-Sep-2013,66.151,-0.005 ,2448943 
06-Sep-2013,66.805,0.003 ,3378013 
09-Sep-2013,67.564,0.006 ,2204924 
10-Sep-2013,68.415,0.004 ,2808220 
11-Sep-2013,68.784,0.003 ,2758730 
12-Sep-2013,68.180,-0.002 ,3361321 
13-Sep-2013,67.856,-0.002 ,3131575 
16-Sep-2013,68.627,0.003 ,2056565 
17-Sep-2013,68.466,-0.006 ,3476806 
18-Sep-2013,70.027,0.005 ,3106242 
19-Sep-2013,69.269,-0.002 ,4984304 
20-Sep-2013,68.899,-0.001 ,3033111 
23-Sep-2013,68.938,-0.003 ,1959100 
24-Sep-2013,68.098,-0.008 ,1794401 
25-Sep-2013,67.854,-0.001 ,2976726 
26-Sep-2013,68.154,0.005 ,2552703 
27-Sep-2013,67.780,-0.001 ,10560386 
30-Sep-2013,65.953,-0.027 ,3401659 
01-Oct-2013,66.679,0.002 ,2543680 
02-Oct-2013,66.885,0.004 ,2359293 
03-Oct-2013,66.984,0.000 ,2143472 
04-Oct-2013,67.312,0.001 ,2372424 
07-Oct-2013,66.336,-0.014 ,2354211 
08-Oct-2013,66.600,0.005 ,3094301 
09-Oct-2013,66.674,-0.001 ,1627289 
10-Oct-2013,66.552,-0.003 ,2472299 
11-Oct-2013,68.067,0.021 ,2275121 
14-Oct-2013,68.428,0.003 ,2170061 
15-Oct-2013,69.166,0.007 ,2462736 
16-Oct-2013,69.118,-0.003 ,2088308 
17-Oct-2013,70.339,0.009 ,2288974 
18-Oct-2013,71.372,0.010 ,2445681 
21-Oct-2013,71.538,0.005 ,2164127 
22-Oct-2013,72.170,0.003 ,2100562 
23-Oct-2013,71.432,-0.002 ,2122973 
24-Oct-2013,72.315,0.013 ,3165461 
25-Oct-2013,72.674,0.009 ,7257511 
28-Oct-2013,73.656,0.015 ,5398371 
29-Oct-2013,72.358,-0.008 ,2484353 
30-Oct-2013,72.596,0.003 ,2445771 
31-Oct-2013,71.568,-0.012 ,3107008 
01-Nov-2013,71.146,-0.004 ,1791205 
04-Nov-2013,71.972,0.004 ,2086952 
05-Nov-2013,72.786,0.012 ,2267773 
06-Nov-2013,73.817,0.012 ,4407257 
07-Nov-2013,74.576,0.017 ,5180215 
08-Nov-2013,73.827,-0.003 ,4229204 
11-Nov-2013,72.924,-0.009 ,2553844 
12-Nov-2013,72.240,-0.003 ,3052577 
13-Nov-2013,71.026,-0.023 ,3544877 
14-Nov-2013,71.523,0.012 ,2675693 
15-Nov-2013,72.480,0.008 ,2220166 
18-Nov-2013,72.123,-0.006 ,2018104 
19-Nov-2013,72.429,-0.002 ,2920299 
20-Nov-2013,71.224,-0.006 ,2201266 
21-Nov-2013,69.884,-0.008 ,2322880 
22-Nov-2013,69.732,0.005 ,2079465 
25-Nov-2013,69.471,-0.003 ,2567209 
26-Nov-2013,69.762,0.008 ,3461263 
27-Nov-2013,69.786,0.006 ,2904398 
28-Nov-2013,70.584,0.009 ,2855162 
29-Nov-2013,70.512,-0.003 ,5988440 
02-Dec-2013,69.556,-0.012 ,2161241 
03-Dec-2013,69.558,-0.004 ,2285488 
04-Dec-2013,68.938,0.003 ,1867171 
05-Dec-2013,68.049,-0.017 ,3405516 
06-Dec-2013,68.035,-0.004 ,2543864 
09-Dec-2013,67.881,-0.004 ,3387278 
10-Dec-2013,68.491,0.005 ,2795624 
11-Dec-2013,67.043,-0.010 ,2293953 
12-Dec-2013,65.312,-0.013 ,7659740 
13-Dec-2013,66.139,0.009 ,3426877 
16-Dec-2013,65.521,-0.008 ,2288094 
17-Dec-2013,65.383,0.004 ,3397382 
18-Dec-2013,64.928,-0.003 ,3352886 
19-Dec-2013,66.004,0.016 ,5192620 
20-Dec-2013,67.371,0.014 ,14188997 
23-Dec-2013,68.207,0.011 ,2998304 
24-Dec-2013,68.417,0.005 ,1208121 
27-Dec-2013,68.188,0.002 ,1088558 
30-Dec-2013,68.776,0.005 ,1666089 
31-Dec-2013,68.968,0.002 ,888947 
02-Jan-2014,68.942,0.001 ,1304668 
03-Jan-2014,69.005,-0.003 ,1141023 
06-Jan-2014,69.170,0.000 ,1364787 
07-Jan-2014,68.990,0.002 ,3289166 
08-Jan-2014,68.947,0.002 ,1862663 
09-Jan-2014,68.988,0.001 ,1833054 
10-Jan-2014,69.409,-0.005 ,1460273 
13-Jan-2014,69.324,-0.008 ,1652138 
14-Jan-2014,67.596,-0.016 ,3242846 
15-Jan-2014,67.549,0.005 ,2038662 
16-Jan-2014,66.487,-0.005 ,3898602 
17-Jan-2014,65.890,-0.004 ,2462037 
20-Jan-2014,65.991,-0.002 ,2132966 
21-Jan-2014,66.644,0.010 ,1794932 
22-Jan-2014,66.825,-0.002 ,2509051 
23-Jan-2014,65.511,-0.010 ,2509242 
24-Jan-2014,64.531,-0.005 ,2384415 
28-Jan-2014,64.705,-0.008 ,4861979 
29-Jan-2014,65.119,0.011 ,3118283 
30-Jan-2014,64.869,-0.010 ,3685031 
31-Jan-2014,64.622,0.000 ,10577169 
03-Feb-2014,64.726,0.002 ,1769141 
04-Feb-2014,64.971,-0.016 ,4946264 
05-Feb-2014,64.197,-0.010 ,3982536 
06-Feb-2014,65.439,0.014 ,3152557 
07-Feb-2014,65.482,0.001 ,4328233 
10-Feb-2014,66.599,0.018 ,2917156 
11-Feb-2014,68.231,0.014 ,3837734 
12-Feb-2014,68.391,0.004 ,4218630 
13-Feb-2014,67.633,-0.006 ,3588847 
14-Feb-2014,68.233,0.003 ,3655586 
17-Feb-2014,66.783,-0.022 ,10342467 
18-Feb-2014,66.885,0.002 ,3810787 
19-Feb-2014,67.113,0.006 ,3785117 
20-Feb-2014,66.815,-0.005 ,3343624 
21-Feb-2014,67.102,0.008 ,2535815 
24-Feb-2014,67.720,0.002 ,2420163 
25-Feb-2014,67.519,-0.001 ,2726341 
26-Feb-2014,67.296,0.003 ,2695512 
27-Feb-2014,67.023,-0.004 ,1371577 
28-Feb-2014,66.282,-0.007 ,6919849 
03-Mar-2014,66.196,-0.002 ,2425063 
04-Mar-2014,66.693,0.006 ,2833756 
05-Mar-2014,67.488,0.008 ,3874018 
06-Mar-2014,68.266,0.000 ,2522051 
07-Mar-2014,68.568,0.006 ,2941699 
10-Mar-2014,67.920,-0.003 ,1905828 
11-Mar-2014,68.042,0.007 ,3490750 
12-Mar-2014,67.694,-0.007 ,2791241 
13-Mar-2014,68.221,0.003 ,2593946 
14-Mar-2014,67.539,-0.009 ,2204000 
17-Mar-2014,67.642,-0.005 ,2648022 
18-Mar-2014,68.255,0.005 ,1967061 
19-Mar-2014,67.839,0.003 ,3209874 
20-Mar-2014,67.392,-0.006 ,5763608 
21-Mar-2014,68.321,0.009 ,2975520 
24-Mar-2014,68.983,0.004 ,1706586 
25-Mar-2014,69.162,-0.001 ,2475517 
26-Mar-2014,70.043,0.007 ,3233615 
27-Mar-2014,70.504,0.002 ,2707622 
28-Mar-2014,70.946,0.008 ,8420847 
31-Mar-2014,71.338,0.004 ,2853745 
01-Apr-2014,70.921,-0.004 ,2162750 
